ID,Location,Area,Bedroom,Bathroom,Frontage,Floors,Price
268031,"Từ Sơn, Bắc Ninh",75,4.0,4.0,0,4.0,3480 tỷ
268029,"Hai Bà Trưng, Hà Nội",55,6.0,6.0,0,7.0,13 tỷ
268028,"Từ Sơn, Bắc Ninh",120,,,1,3.0,6.5 tỷ
268026,"Dĩ An, Bình Dương",148,2.0,1.0,0,,4000000 tỷ
268025,"Phú Nhuận, TP Hồ Chí Minh",104,2.0,3.0,0,2.0,11.3 tỷ
268024,"Bình Thạnh, TP Hồ Chí Minh",52,5.0,5.0,0,10.0,6.5 tỷ
268021,"Quận 2, TP Hồ Chí Minh",65,,,1,4.0,3 tỷ
268019,"Gò Vấp, TP Hồ Chí Minh",44,2.0,3.0,1,,4.98 tỷ
268018,"Từ Sơn, Bắc Ninh",162,,,0,,6000000000 tỷ
268017,"Hai Bà Trưng, Hà Nội",223,3.0,3.0,0,4.0,3700000000 tỷ
268007,"Tân Bình, TP Hồ Chí Minh",98,,,0,,5.25 tỷ
268006,"Quận 3, TP Hồ Chí Minh",90,,,1,4.0,70000000 tỷ
268005,"Hải Châu, Đà Nẵng",70,,,0,,2.1 tỷ
268004,"Long Biên, Hà Nội",80,,,1,,10.5 tỷ
268003,"Đống Đa, Hà Nội",36,3.0,4.0,1,5.0,5.5 tỷ
